nombre,codigo,descripcion,url
Labial Color Hidra Fps 8,NATCHL-00019,• colores vivos y seductores | • con manteca de cacao para una hidratación intensa e inmediata | • cobertura: alta | • dermatológicamente probado | • efecto: mate | • protección solar: FPS 10 | • edad sugerida: a partir de 18 años | • cruelty free | • textura: suave | • zona de aplicación: labios,https://www.natura.cl/p/labial-color-hidra-fps-8--faces-35g/NATCHL-00019
Labial Color Hidra Fps 8,NATCHL-107361,• colores vivos y seductores | • con manteca de cacao para una hidratación intensa e inmediata | • cobertura: alta | • dermatológicamente probado | • efecto: mate | • protección solar: FPS 10 | • edad sugerida: a partir de 18 años | • cruelty free | • textura: suave | • zona de aplicación: labios,https://www.natura.cl/p/labial-color-hidra-fps-8-castano-406-faces-35g/NATCHL-107361
Sombra trío Faces 3 gr,NATCHL-89501,"• colores que iluminan y realzan tu mirada | • tonos audaces y clásicos | • proporciona color, profundidad y luminosidad a la mirada | • perfecto para quienes buscan colores vibrantes con alta pigmentación",https://www.natura.cl/p/sombra-trio-faces-3-gr/NATCHL-89501
Labial Hidra Faces,NATCHL-6422,• colores vivos y seductores | • con manteca de cacao para una hidratación intensa e inmediata | • cobertura: alta | • dermatológicamente probado | • efecto: mate | • protección solar: FPS 10 | • edad sugerida: a partir de 18 años | • cruelty free | • textura: suave | • zona de aplicación: labios,https://www.natura.cl/p/labial-hidra-marron-470-faces-35-g/NATCHL-6422
"Gloss Labial Faces 5,5 g",NATCHL-175103,"• 4 colores tendencia | • el mejor acabado glossy | • labios hidratados y llenos de color | • brillo intenso | • cuantas más capas, más color y brillo | • con vitamina E | • hidrata tus labios intensamente por 24 horas | • pigmentación y un toque radiante | • dermatológicamente probado | • edad sugerida: a partir de 18 años | • cruelty free | • vegano | • textura: gloss",https://www.natura.cl/p/gloss-labial-faces-55-g/NATCHL-175103
Shampoo Revitalizante Naturé,NATCHL-166872,"cabellos limpiecitos en el viento a brillar. ¡en el sol vamos a jugar!• elimina residuos acumulados de playa y piscina • cabellos más fuertes y resistentes • no irrita los ojos • aprobado por pediatras • fragancia con aroma refrescante, como un chapuzón en el agua • fórmula con prebióticos que refuerzan la microbiota • envase Naturé divertido • rendimiento comprobado • 96% de ingredientes naturales • dermatológicamente y oftalmológicamente probadas • sin silicona ni sulfato • 95% de biodegradabilidad.",https://www.natura.cl/p/shampoo-revitalizante-nature-250-ml/NATCHL-166872
Lapiz Para Labios Faces,NATCHL-9583,• úsalo como quieras | • para dar color o para delinear | • resalta aún más tus labios | • alta cobertura | • testado dermatológicamente | • edad sugerida: a partir de 18 años | • textura ultrasuave | • zona de aplicación: labios | • cruelty free,https://www.natura.cl/p/lapiz-para-labios-faces-vino-14g/NATCHL-9583
Labial cremoso multimix Faces,NATCHL-116201,"• más color, más cobertura con efecto cremoso | • colores vibrantes, efecto mate y FPS 10 | • viene con espejo en la tapa | • también puede usarse como blush | • perfecto para llevarlo contigo a todas partes | • cobertura: alta | • probado dermatológicamente | • efecto: mate | • protección solar: FPS 10 | • edad recomendada: a partir de 18 años | • cruelty free | • textura: suave | • zona de aplicación: labios | • expresa tu belleza como y donde quieras",https://www.natura.cl/p/labial-cremoso-multimix-faces-hey-honey-35-ml/NATCHL-116201
Lapiz Para Labios Faces,NATCHL-9586,• úsalo como quieras | • para dar color o para delinear | • resalta aún más tus labios | • alta cobertura | • testado dermatológicamente | • edad sugerida: a partir de 18 años | • textura ultrasuave | • zona de aplicación: labios | • cruelty free,https://www.natura.cl/p/lapiz-para-labios-faces-rojo-14g/NATCHL-9586
Esmalte De Unas,NATCHL-106542,• acabado cremoso | • esmalte con alta cobertura y secado rápido | • proporciona un look vibrante y moderno | • fácil de aplicar | • uñas increíbles con practicidad y estilo | • uñas fuertes y resistentes | • brillo increíble | • vegano | • fórmula hipoalergénica | • edad sugerida: a partir de 18 años | • hipoalergénico | • cruelty free,https://www.natura.cl/p/faces-esmalte-rosa-montevideo/NATCHL-106542
